Data;Valor_FOB_MM;Qtde_MM_t;Preço_US$_t;
04/2024;6.378,3;14,7;433,9;
03/2024;5.375,3;12,6;425,6;
02/2024;2.920,0;6,6;441,9;
01/2024;1.455,3;2,9;509,8;
12/2023;1.990,4;3,8;519,9;
11/2023;2.727,1;5,2;524,8;
10/2023;2.931,7;5,6;523,5;
09/2023;3.302,4;6,4;516,2;
08/2023;4.194,0;8,4;500,1;
07/2023;4.736,4;9,7;488,5;
06/2023;6.822,0;13,7;496,3;
05/2023;8.115,6;15,6;520,8;
04/2023;7.749,8;14,3;540,6;
03/2023;7.361,5;13,2;555,9;
02/2023;2.813,2;5,0;560,7;
01/2023;500,4;0,8;596,0;
12/2022;1.197,4;1,9;618,5;
11/2022;1.548,6;2,5;613,3;
10/2022;2.334,0;3,8;614,5;
09/2022;2.505,2;4,0;625,9;
08/2022;3.732,4;5,9;627,8;
07/2022;4.722,0;7,5;629,1;
06/2022;6.306,1;10,0;631,2;
05/2022;6.614,1;10,6;621,6;
04/2022;6.757,7;11,5;589,0;
03/2022;6.463,7;12,2;530,2;
02/2022;3.135,5;6,3;500,0;
01/2022;1.241,9;2,5;506,5;
12/2021;1.359,0;2,7;501,2;
11/2021;1.321,1;2,6;510,7;
10/2021;1.719,4;3,3;522,1;
09/2021;2.458,5;4,8;509,3;
08/2021;3.144,6;6,5;485,0;
07/2021;3.983,6;8,7;459,5;
06/2021;5.174,0;11,1;467,5;
05/2021;6.707,9;15,0;448,2;
04/2021;6.665,5;16,1;413,6;
03/2021;5.045,8;12,7;397,5;
02/2021;1.036,1;2,6;391,6;
01/2021;23,3;0,0;470,1;
12/2020;103,7;0,3;378,3;
11/2020;528,7;1,4;368,2;
10/2020;885,4;2,4;365,6;
09/2020;1.557,0;4,3;365,4;
08/2020;2.063,7;5,8;353,6;
07/2020;3.458,6;10,0;347,4;
06/2020;4.296,0;12,7;337,2;
05/2020;4.700,0;14,1;333,1;
04/2020;5.031,0;14,9;338,7;
03/2020;3.742,5;10,9;344,8;
02/2020;1.692,8;4,8;350,2;
01/2020;504,8;1,4;361,3;
12/2019;1.191,0;3,3;364,2;
11/2019;1.808,0;4,9;365,4;
10/2019;1.825,9;5,1;359,7;
09/2019;1.633,7;4,6;354,9;
08/2019;1.764,1;5,0;352,5;
07/2019;2.598,5;7,4;349,1;
06/2019;2.883,9;8,6;337,2;
05/2019;3.403,9;10,0;340,0;
04/2019;3.304,0;9,4;351,4;
03/2019;3.021,1;8,5;357,2;
02/2019;1.874,5;5,3;355,9;
01/2019;768,7;2,0;377,9;
12/2018;1.572,5;4,1;386,3;
11/2018;1.898,5;4,8;394,1;
10/2018;2.048,4;5,2;392,5;
09/2018;1.814,5;4,6;397,9;
08/2018;3.209,7;8,1;395,4;
07/2018;4.078,9;10,2;400,0;
06/2018;4.199,2;10,4;403,0;
05/2018;4.998,5;12,4;404,6;
04/2018;4.112,6;10,3;400,9;
03/2018;3.434,7;8,8;389,7;
02/2018;1.093,3;2,9;381,7;
01/2018;594,3;1,6;380,1;
12/2017;913,4;2,4;387,8;
11/2017;815,4;2,1;380,5;
10/2017;939,5;2,5;377,8;
09/2017;1.610,5;4,3;376,9;
08/2017;2.236,1;6,0;375,7;
07/2017;2.534,4;7,0;364,4;
06/2017;3.353,7;9,2;364,7;
05/2017;4.063,4;11,0;370,8;
04/2017;3.948,2;10,4;378,5;
03/2017;3.534,1;9,0;393,6;
02/2017;1.404,2;3,5;400,1;
01/2017;364,8;0,9;400,1;
12/2016;273,1;0,7;418,2;
11/2016;130,9;0,3;414,2;
10/2016;413,8;1,0;414,5;
09/2016;606,5;1,4;420,2;
08/2016;1.590,5;3,8;416,8;
07/2016;2.424,6;5,8;419,0;
06/2016;2.971,4;7,8;382,9;
05/2016;3.600,3;9,9;363,1;
04/2016;3.532,4;10,1;350,2;
03/2016;2.924,9;8,4;349,3;
02/2016;715,3;2,0;351,2;
01/2016;147,6;0,4;374,3;
12/2015;281,7;0,7;385,2;
11/2015;551,1;1,4;382,0;
10/2015;989,6;2,6;381,5;
09/2015;1.430,0;3,7;385,9;
08/2015;2.004,9;5,2;388,4;
07/2015;3.224,1;8,4;382,0;
06/2015;3.762,2;9,8;383,5;
05/2015;3.612,7;9,3;386,8;
04/2015;2.534,3;6,6;386,9;
03/2015;2.211,8;5,6;395,5;
02/2015;346,2;0,9;398,5;
01/2015;35,1;0,1;411,3;
12/2014;73,6;0,1;530,9;
11/2014;81,6;0,2;462,2;
10/2014;364,0;0,7;491,3;
09/2014;1.347,5;2,7;504,7;
08/2014;2.135,4;4,1;518,4;
07/2014;3.151,2;6,0;521,4;
06/2014;3.572,0;6,9;518,2;
05/2014;3.866,2;7,6;508,1;
04/2014;4.134,7;8,3;501,1;
03/2014;3.147,6;6,2;505,3;
02/2014;1.385,8;2,8;496,8;
01/2014;17,8;0,0;581,9;
12/2013;23,4;0,0;565,0;
11/2013;349,3;0,6;539,2;
10/2013;819,7;1,5;545,1;
09/2013;1.851,4;3,5;533,7;
08/2013;2.894,2;5,4;538,4;
07/2013;3.059,7;5,7;540,7;
06/2013;3.437,2;6,5;529,0;
05/2013;4.152,6;8,0;522,2;
04/2013;3.797,3;7,2;530,8;
03/2013;1.910,5;3,5;540,3;
02/2013;516,6;1,0;538,3;
01/2013;0,3;0,0;905,3;
12/2012;90,0;0,1;666,7;
11/2012;166,1;0,3;641,6;
10/2012;573,7;0,9;632,6;
09/2012;1.009,4;1,7;600,4;
08/2012;1.426,0;2,4;586,7;
07/2012;2.249,7;4,1;544,8;
06/2012;2.591,9;4,8;535,4;
05/2012;3.841,2;7,3;528,0;
04/2012;2.261,5;4,4;510,4;
03/2012;2.062,7;4,2;486,8;
02/2012;715,5;1,6;456,2;
01/2012;461,8;1,0;456,4;
12/2011;696,2;1,5;473,7;
11/2011;878,2;1,8;499,3;
10/2011;740,0;1,4;523,6;
09/2011;1.458,1;2,8;521,1;
08/2011;1.899,0;3,7;515,8;
07/2011;1.841,1;3,7;492,5;
06/2011;2.232,0;4,6;490,2;
05/2011;2.558,5;5,3;482,2;
04/2011;2.417,3;5,1;474,9;
03/2011;1.383,5;2,7;506,1;
02/2011;111,0;0,2;493,6;
01/2011;107,1;0,2;514,8;
12/2010;146,0;0,3;498,8;
11/2010;139,5;0,3;463,2;
10/2010;430,5;1,0;424,9;
09/2010;824,1;2,0;410,3;
08/2010;1.155,8;3,0;389,6;
07/2010;1.496,0;4,0;374,1;
06/2010;1.488,4;4,0;368,4;
05/2010;2.089,6;5,7;366,8;
04/2010;1.797,3;4,9;365,8;
03/2010;1.164,9;3,1;377,5;
02/2010;265,5;0,7;400,0;
01/2010;45,3;0,1;487,4;
12/2009;99,0;0,2;487,6;
11/2009;84,1;0,2;452,8;
10/2009;315,7;0,7;436,8;
09/2009;817,7;1,8;446,7;
08/2009;1.306,2;3,0;438,4;
07/2009;1.468,0;3,3;438,6;
06/2009;2.576,9;6,2;417,4;
05/2009;1.723,8;4,7;368,4;
04/2009;1.542,0;4,5;343,2;
03/2009;973,4;2,6;368,3;
02/2009;264,4;0,7;383,5;
01/2009;253,0;0,6;411,6;
12/2008;332,3;0,8;442,9;
11/2008;311,2;0,7;430,1;
10/2008;524,6;1,1;494,2;
09/2008;900,4;1,9;483,5;
08/2008;1.219,8;2,4;517,2;
07/2008;1.901,3;4,0;477,5;
06/2008;1.506,0;3,5;424,9;
05/2008;1.860,3;4,4;418,8;
04/2008;1.397,6;3,3;417,6;
03/2008;561,8;1,4;400,1;
02/2008;186,2;0,4;437,9;
01/2008;250,7;0,6;418,1;
12/2007;190,5;0,5;367,0;
11/2007;267,5;0,8;339,5;
10/2007;664,2;2,0;328,0;
09/2007;543,7;1,8;299,3;
08/2007;763,4;2,7;285,5;
07/2007;859,6;3,1;277,9;
06/2007;817,4;3,1;265,9;
05/2007;825,7;3,2;261,9;
04/2007;844,9;3,2;266,9;
03/2007;561,8;2,1;273,5;
02/2007;206,6;0,8;266,6;
01/2007;138,5;0,5;262,0;
12/2006;116,7;0,5;247,7;
11/2006;236,0;1,0;236,4;
10/2006;379,3;1,7;225,6;
09/2006;449,1;2,0;225,3;
08/2006;657,7;2,9;226,7;
07/2006;978,0;4,4;223,5;
06/2006;510,4;2,3;223,0;
05/2006;695,9;3,2;219,5;
04/2006;653,1;2,9;224,1;
03/2006;620,4;2,7;233,8;
02/2006;171,6;0,7;238,2;
01/2006;179,0;0,7;249,9;
12/2005;233,9;1,0;245,5;
11/2005;340,7;1,4;250,6;
10/2005;441,2;1,8;246,2;
09/2005;543,3;2,2;246,5;
08/2005;686,8;2,8;249,5;
07/2005;660,9;2,7;245,6;
06/2005;695,7;3,0;235,7;
05/2005;527,6;2,3;229,7;
04/2005;613,5;2,7;227,4;
03/2005;400,7;1,8;218,5;
02/2005;90,8;0,4;219,4;
01/2005;76,8;0,4;218,1;
12/2004;97,1;0,4;242,6;
11/2004;115,6;0,5;238,3;
10/2004;240,3;0,9;261,1;
09/2004;647,7;2,3;282,7;
08/2004;580,5;2,0;289,8;
07/2004;659,0;2,3;284,8;
06/2004;1.045,1;3,7;281,5;
05/2004;738,8;2,7;276,9;
04/2004;568,6;2,0;283,5;
03/2004;453,4;1,6;286,8;
02/2004;127,3;0,5;280,8;
01/2004;99,2;0,3;289,3;
12/2003;86,0;0,3;256,4;
11/2003;130,5;0,5;248,9;
10/2003;485,0;2,1;229,3;
09/2003;469,8;2,2;215,6;
08/2003;539,9;2,5;218,1;
07/2003;408,0;1,8;221,5;
06/2003;528,5;2,5;210,8;
05/2003;689,9;3,3;210,4;
04/2003;590,0;2,9;204,0;
03/2003;267,8;1,3;207,5;
02/2003;40,7;0,2;214,8;
01/2003;50,7;0,2;206,2;
12/2002;121,2;0,6;217,2;
11/2002;99,0;0,5;210,4;
10/2002;353,3;1,7;209,8;
09/2002;768,9;3,8;199,8;
08/2002;336,6;1,7;197,9;
07/2002;475,9;2,6;183,4;
06/2002;217,6;1,3;173,1;
05/2002;217,1;1,3;171,8;
04/2002;288,1;1,7;168,8;
03/2002;111,7;0,7;171,6;
02/2002;14,3;0,1;174,4;
01/2002;26,2;0,1;184,1;
12/2001;41,7;0,2;183,8;
11/2001;36,1;0,2;186,8;
10/2001;156,8;0,8;189,3;
09/2001;280,2;1,5;186,4;
08/2001;445,4;2,5;178,4;
07/2001;337,8;2,0;173,0;
06/2001;435,7;2,7;164,2;
05/2001;416,3;2,5;163,8;
04/2001;336,1;2,0;168,7;
03/2001;161,9;0,9;179,3;
02/2001;19,7;0,1;213,2;
01/2001;58,2;0,3;196,7;
12/2000;21,3;0,1;187,0;
11/2000;62,3;0,3;189,6;
10/2000;113,4;0,6;189,7;
09/2000;149,1;0,8;188,4;
08/2000;380,2;2,0;189,1;
07/2000;353,3;1,9;190,8;
06/2000;345,4;1,8;192,8;
05/2000;337,4;1,8;190,6;
04/2000;304,3;1,6;189,6;
03/2000;104,3;0,6;185,1;
02/2000;11,3;0,1;190,1;
01/2000;5,5;0,0;163,9;
12/1999;20,2;0,1;176,0;
11/1999;34,3;0,2;184,1;
10/1999;58,9;0,3;182,4;
09/1999;123,9;0,7;176,2;
08/1999;133,7;0,8;172,7;
07/1999;219,9;1,3;175,6;
06/1999;247,9;1,4;174,3;
05/1999;335,2;1,9;180,1;
04/1999;284,8;1,6;181,6;
03/1999;95,9;0,5;183,1;
02/1999;28,4;0,1;198,9;
01/1999;9,1;0,0;232,2;
12/1998;13,3;0,1;212,9;
11/1998;38,7;0,2;232,5;
10/1998;93,2;0,4;227,4;
09/1998;220,3;1,0;228,8;
08/1998;201,1;0,9;228,2;
07/1998;270,3;1,2;233,0;
06/1998;345,5;1,5;235,3;
05/1998;446,6;1,9;235,7;
04/1998;444,5;1,9;239,0;
03/1998;98,9;0,4;247,7;
02/1998;5,4;0,0;252,8;
01/1998;0,7;0,0;419,9;
12/1997;0,1;0,0;448,4;
11/1997;1,9;0,0;386,4;
10/1997;32,4;0,1;307,0;
09/1997;104,1;0,3;298,5;
08/1997;291,1;1,0;295,0;
07/1997;494,9;1,7;296,3;
06/1997;395,8;1,3;294,1;
05/1997;504,1;1,7;297,0;
04/1997;462,9;1,6;289,5;
03/1997;156,2;0,6;283,9;
02/1997;4,9;0,0;286,4;
01/1997;4,1;0,0;293,6;